codigo,nombre,poblacion
70305,El Cairo,6082
70306,Alegría,5656
70401,Bratsi,7318
70402,Sixaola,8861
70403,Cahuita,8293
70404,Telire,6240
70501,Matina,9142
70502,Batán,16532
70503,Carrandi,12047
70601,Guácimo,18326
70602,Mercedes,1707
70603,Pocora,6432
70604,Río Jiménez,8742
70605,Duacarí,6059
