Código,Región,Consumo promedio mensual m3,Consumo diario en litros
30804,Región Central,5.45,181.666666667
40101,Región Central,5.45,181.666666667
40102,Región Central,5.45,181.666666667
40103,Región Central,5.45,181.666666667
40104,Región Central,5.45,181.666666667
40105,Región Central,5.45,181.666666667
40201,Región Central,5.45,181.666666667
40202,Región Central,5.45,181.666666667
40203,Región Central,5.45,181.666666667
40204,Región Central,5.45,181.666666667
40205,Región Central,5.45,181.666666667
40206,Región Central,5.45,181.666666667
40301,Región Central,5.45,181.666666667
40302,Región Central,5.45,181.666666667
40303,Región Central,5.45,181.666666667
40304,Región Central,5.45,181.666666667
40305,Región Central,5.45,181.666666667
40306,Región Central,5.45,181.666666667
40307,Región Central,5.45,181.666666667
40308,Región Central,5.45,181.666666667
40401,Región Central,5.45,181.666666667
40402,Región Central,5.45,181.666666667
40403,Región Central,5.45,181.666666667
40404,Región Central,5.45,181.666666667
40405,Región Central,5.45,181.666666667
40406,Región Central,5.45,181.666666667
40501,Región Central,5.45,181.666666667
40502,Región Central,5.45,181.666666667
40503,Región Central,5.45,181.666666667
40504,Región Central,5.45,181.666666667
40505,Región Central,5.45,181.666666667
40601,Región Central,5.45,181.666666667
40602,Región Central,5.45,181.666666667
40603,Región Central,5.45,181.666666667
40604,Región Central,5.45,181.666666667
40701,Región Central,5.45,181.666666667
40702,Región Central,5.45,181.666666667
40703,Región Central,5.45,181.666666667
40801,Región Central,5.45,181.666666667
40802,Región Central,5.45,181.666666667
40803,Región Central,5.45,181.666666667
40901,Región Central,5.45,181.666666667
40902,Región Central,5.45,181.666666667
41001,Región Huetar Norte,5.14,171.333333333
41002,Región Huetar Norte,5.14,171.333333333
41003,Región Huetar Atlántica,5.13,171
41004,Región Central,5.45,181.666666667
41005,Región Central,5.45,181.666666667
50101,Región Chorotega,5.62,187.333333333
50102,Región Chorotega,5.62,187.333333333
50103,Región Chorotega,5.62,187.333333333
50104,Región Chorotega,5.62,187.333333333
50105,Región Chorotega,5.62,187.333333333
50201,Región Chorotega,5.62,187.333333333
50202,Región Chorotega,5.62,187.333333333
50203,Región Chorotega,5.62,187.333333333
50204,Región Chorotega,5.62,187.333333333
50205,Región Chorotega,5.62,187.333333333
50206,Región Chorotega,5.62,187.333333333
50207,Región Chorotega,5.62,187.333333333
50301,Región Chorotega,5.62,187.333333333
50302,Región Chorotega,5.62,187.333333333
50303,Región Chorotega,5.62,187.333333333
50304,Región Chorotega,5.62,187.333333333
50305,Región Chorotega,5.62,187.333333333
50306,Región Chorotega,5.62,187.333333333
50307,Región Chorotega,5.62,187.333333333
50308,Región Chorotega,5.62,187.333333333
50309,Región Chorotega,5.62,187.333333333
50401,Región Chorotega,5.62,187.333333333
50402,Región Chorotega,5.62,187.333333333
50403,Región Chorotega,5.62,187.333333333
50404,Región Chorotega,5.62,187.333333333
50501,Región Chorotega,5.62,187.333333333
50502,Región Chorotega,5.62,187.333333333
50503,Región Chorotega,5.62,187.333333333
50504,Región Chorotega,5.62,187.333333333
50601,Región Chorotega,5.62,187.333333333
50602,Región Chorotega,5.62,187.333333333
50603,Región Chorotega,5.62,187.333333333
50604,Región Chorotega,5.62,187.333333333
50605,Región Chorotega,5.62,187.333333333
