codigo,nombre,poblacion,provincia,canton,caudal,caudal humano,caudal agroganaderia,caudal industrial,caudal turismo,caudal otros,pozos,region de consumo,consumo promedio mensual en metros cubicos,consumo diario en litros
51101,Hojancha,4245,5,511,89.22,66.37,13.45,0,2.4,7.00,50,Región Chorotega,5.62,187.333333333
12001,San Pablo,4209,1,120,2.00,0,2.00,0,0,0,1,Región Central,5.45,181.666666667
30204,Cachí,5438,3,302,1.30,0,1.30,0,0,0,1,Región Central,5.45,181.666666667
11403,La Trinidad,19767,1,114,40.29,28.19,4.10,8.00,0,0,15,Región Central,5.45,181.666666667
11402,San Jerónimo,6154,1,114,32.63,21.03,9.60,0,0,2.00,26,Región Central,5.45,181.666666667
11401,San Vicente,30998,1,114,86.91,80.65,1.00,5.26,0,0,32,Región Central,5.45,181.666666667
30205,Llanos de Santa Lucía,17086,,,,,,,,,,Región Central,5.45,181.666666667
40801,San Joaquín,7173,4,408,272.62,87.29,2.50,179.67,3.16,0,27,Región Central,5.45,181.666666667
51102,Monte Romo,671,,,,,,,,,,Región Chorotega,5.62,187.333333333
40803,Llorente,8773,4,408,82.61,55.96,0,26.65,0,0,20,Región Central,5.45,181.666666667
40802,Barrantes,4091,4,408,103.56,86.18,13.10,4.28,0,0,25,Región Central,5.45,181.666666667
30201,Paraíso,20601,3,302,161.85,48.32,56.12,42.71,12,2.70,54,Región Central,5.45,181.666666667
30202,Santiago,5534,3,302,26.96,1.00,16.68,1.13,0,5.00,12,Región Central,5.45,181.666666667
20701,Palmares,3599,2,207,42.77,22.12,11.50,9.15,0,0,30,Región Central,5.45,181.666666667
20702,Zaragoza,8219,2,207,149.74,90.50,34.40,21.44,0,3.40,79,Región Central,5.45,181.666666667
10902,Salitral,4304,1,109,48.01,39.26,8.75,0,0,0,35,Región Central,5.45,181.666666667
20704,Santiago,2737,2,207,24.00,19.50,4.50,0,0,0,8,Región Central,5.45,181.666666667
20705,Candelaria,1961,2,207,13.50,11.50,2.00,0,0,0,7,Región Central,5.45,181.666666667
20706,Esquipulas,6588,2,207,55.25,16.70,23.05,11.50,0,4.00,39,Región Central,5.45,181.666666667
20707,La Granja,4119,2,207,83.05,58.79,22.68,1.58,0,0,47,Región Central,5.45,181.666666667
30804,Patio de Agua,412,,,,,,,,,,Región Central,5.45,181.666666667
30802,San Isidro,9828,3,308,32.59,15.28,12.88,4.00,0,0.43,21,Región Central,5.45,181.666666667
30803,Tobosi,6569,3,308,5.96,2.80,0,3.16,0,0,3,Región Central,5.45,181.666666667
30801,El Tejar,24984,3,308,224.30,86.11,99.21,38.23,0,0.25,76,Región Central,5.45,181.666666667
50704,Colorado,4621,5,507,186.18,129.59,13.70,42.89,0,0,78,Región Chorotega,5.62,187.333333333
50703,San Juan,1585,5,507,59.04,4.50,49.36,2.30,0,2.88,17,Región Chorotega,5.62,187.333333333
50702,Sierra,2351,,,,,,,,,,Región Chorotega,5.62,187.333333333
50701,Las Juntas,9482,5,507,110.50,70.27,29.35,10.57,0,0.31,45,Región Chorotega,5.62,187.333333333
60701,Golfito,11284,6,607,289.47,94.30,0,174.17,17.00,0,34,Región Brunca,5.36,178.666666667
60702,Puerto Jiménez,8789,6,607,76.10,59.55,0,0,16.55,0.00,20,Región Brunca,5.36,178.666666667
11301,San Juan,21745,1,113,10.56,5.67,0,4.89,0,0,11,Región Central,5.45,181.666666667
11302,Cinco Esquinas,5925,1,113,8.21,6.21,0,2.00,0,0,4,Región Central,5.45,181.666666667
11303,Anselmo Llorente,9986,1,113,13.40,12.10,1.00,0.30,0,0,8,Región Central,5.45,181.666666667
11304,León XIII,13661,1,113,9.50,9.50,0,0,0,0,1,Región Central,5.45,181.666666667
11305,Colima,13525,1,113,10.10,1.63,0,8.47,0,0,5,Región Central,5.45,181.666666667
70503,Carrandi,12047,7,705,410.15,77.40,34.39,283.36,0.50,14.50,62,Región Huetar Atlántica,5.13,171
70502,Batán,16532,7,705,322.63,130.15,21.26,160.22,0,11.00,45,Región Huetar Atlántica,5.13,171
70501,Matina,9142,7,705,141.44,53.24,10.00,78.20,0,0,16,Región Huetar Atlántica,5.13,171
20904,Coyolar,5912,2,209,168.19,133.69,27.00,2.50,3,2.00,71,Región Pacífico Central,5.56,185.333333333
20905,La Ceiba,1922,2,209,290.89,113.27,67.25,97.37,13.00,0.00,85,Región Pacífico Central,5.56,185.333333333
20902,El Mastate,1821,2,209,30.40,22.35,7.05,1.00,0,0,16,Región Pacífico Central,5.56,185.333333333
20903,Hacienda Vieja,1022,2,209,39.24,11.20,24.78,1.26,2,0,24,Región Pacífico Central,5.56,185.333333333
20901,Orotina,9664,2,209,143.91,82.35,47.05,14.51,0,0.00,74,Región Pacífico Central,5.56,185.333333333
41002,La Virgen,10521,4,410,128.74,24.84,5.70,91.20,0,7.00,42,Región Huetar Norte,5.14,171.333333333
41003,Las Horquetas,24331,4,410,156.14,43.40,23.12,82.62,0,7.00,28,Región Huetar Atlántica,5.13,171
41001,Puerto Viejo,20184,4,410,404.23,57.83,3.00,336.90,0,6.00,75,Región Huetar Norte,5.14,171.333333333
41004,Llanuras del Gaspar,1160,,,,,,,,,,Región Central,5.45,181.666666667
41005,Cureña,951,,,,,,,,,,Región Central,5.45,181.666666667
10110,Hatillo,50511,1,101,9.35,1.50,0,4.70,0,3.15,7,Región Central,5.45,181.666666667
10111,San Sebastián,40065,1,101,9.08,9.08,0,0,0,0,16,Región Central,5.45,181.666666667
60901,Parrita,16115,6,609,335.22,223.08,45.80,46.55,19.79,0,85,Región Pacífico Central,5.56,185.333333333
11902,El General,6373,1,119,0.1,0,0.1,0,0,0,1,Región Brunca,5.36,178.666666667
11903,Daniel Flores,33537,1,119,48.86,31.98,4.13,12.75,0,0,14,Región Brunca,5.36,178.666666667
70202,Jiménez,10501,7,702,81.68,21.62,17.88,40.18,0,2.00,28,Región Huetar Atlántica,5.13,171
11901,San Isidro de El General,45327,1,119,18.45,13.95,0.50,3.00,1,0,13,Región Brunca,5.36,178.666666667
11906,Platanares,7203,,,,,,,,,,Región Brunca,5.36,178.666666667
11907,Pejibaye,7995,1,119,3.00,3.00,0,0,0,0,1,Región Brunca,5.36,178.666666667
11904,Rivas,6591,,,,,,,,,,Región Brunca,5.36,178.666666667
11905,San Pedro,9102,1,119,2.00,0,2.00,0,0,0,1,Región Brunca,5.36,178.666666667
11908,Cajón,8542,1,119,14.75,0.00,7.00,4.75,3,0,7,Región Brunca,5.36,178.666666667
11909,Barú,2393,1,119,19.26,9.56,6.70,0,3.00,0,18,Región Brunca,5.36,178.666666667
21504,Katira,5127,,,,,,,,,,Región Huetar Norte,5.14,171.333333333
21501,San Rafael,7941,2,215,10.26,4.26,3.00,3,0,0,9,Región Huetar Norte,5.14,171.333333333
21503,Cote,867,2,215,1.00,1.00,0,0,0,0,1,Región Huetar Norte,5.14,171.333333333
21502,Buenavista,1573,2,215,6.50,0,3.00,1.50,1.00,1,4,Región Huetar Norte,5.14,171.333333333
30110,Llano Grande,4342,3,301,28.50,5.70,21.23,1.57,0,0,22,Región Central,5.45,181.666666667
30111,Quebradilla,5349,3,301,66.72,13.90,40.82,12.00,0,0,22,Región Central,5.45,181.666666667
40604,San Francisco,4438,4,406,20.00,20.00,0,0,0,0,4,Región Central,5.45,181.666666667
40603,Concepción,2635,4,406,17.84,11.69,5.15,1.00,0,0,30,Región Central,5.45,181.666666667
40602,San José,7447,4,406,13.65,9.52,0.88,3.00,0,0.25,22,Región Central,5.45,181.666666667
40601,San Isidro,6113,4,406,2.50,2.50,0,0,0,0,5,Región Central,5.45,181.666666667
30701,San Rafael,27248,3,307,100.97,41.06,37.45,20.46,0,2.00,35,Región Central,5.45,181.666666667
30703,Potrero Cerrado,2281,3,307,9.50,0.50,4.00,5.00,0,0,4,Región Central,5.45,181.666666667
30702,Cot,9630,3,307,12.18,4.50,7.68,0,0,0,9,Región Central,5.45,181.666666667
30705,Santa Rosa,2614,,,,,,,,,,Región Central,5.45,181.666666667
30704,Cipreses,3700,3,307,4.00,2.00,2.00,0,0,0,2,Región Central,5.45,181.666666667
30107,Corralillo,10647,,,,,,,,,,Región Central,5.45,181.666666667
30106,Guadalupe o Arenilla,14618,3,301,346.86,144.24,108.50,89.87,0.25,1,95,Región Central,5.45,181.666666667
10806,Rancho Redondo,2538,1,108,3.36,3.36,0,0,0,0,3,Región Central,5.45,181.666666667
10807,Purral,27464,1,108,12.89,11.89,1.00,0,0,0,15,Región Central,5.45,181.666666667
12006,San Antonio,1106,,,,,,,,,,Región Central,5.45,181.666666667
12004,San Isidro,1531,,,,,,,,,,Región Central,5.45,181.666666667
12005,Santa Cruz,1665,1,120,0.5,0.5,0,0,0,0,1,Región Central,5.45,181.666666667
12002,San Andrés,1578,,,,,,,,,,Región Central,5.45,181.666666667
12003,Llano Bonito,2111,1,120,2.00,0,2.00,0,0,0,1,Región Central,5.45,181.666666667
30102,Occidental,9901,3,301,150.41,97.61,0.50,51.80,0,0.50,26,Región Central,5.45,181.666666667
10905,Piedades,8128,1,109,143.97,103.02,20.25,20.10,0.6,0,97,Región Central,5.45,181.666666667
10904,Uruca,7200,1,109,71.55,58.21,7.31,6.03,0,0,73,Región Central,5.45,181.666666667
51104,Huacas,707,5,511,7.40,0.40,7.00,0,0,0,3,Región Chorotega,5.62,187.333333333
