codigo,provincia,canton,caudal,caudal humano,caudal agroganaderia,caudal industrial,caudal turismo,caudal otros,pozos
20604,2,206,3.50,3.50,0,0,0,0,3
20607,2,206,45.09,8.39,29.60,4.10,0,3.00,31
20606,2,206,10.15,3.15,7.00,0,0,0,4
21004,2,210,115.83,19.42,10.30,86.11,0,0,25
21005,2,210,28.79,0,9.04,17.00,2.75,0,8
40304,4,403,0.50,0.50,0,0,0,0,1
21007,2,210,152.93,27.18,31.35,10.05,84.35,0,65
50401,5,504,293.75,133.10,122.10,32.15,5.9,0.50,156
50402,5,504,2.63,0.63,2.00,0,0,0,2
50403,5,504,33.32,20.56,2.41,0,3.35,7,19
11803,1,118,105.64,82.72,12.17,1.25,9.50,0,49
11802,1,118,15.30,12.25,0.05,3.00,0,0,9
11801,1,118,319.68,212.87,29.50,77.31,0,0,86
70302,7,703,442.50,69.98,59.90,310.73,0,1.89,61
70305,7,703,77.76,24.74,2.00,37.52,2.00,11.50,18
70304,7,703,63.00,0,35.00,28.00,0,0,6
11804,1,118,23.94,21.04,2.90,0,0,0,9
11201,1,112,1.50,1.50,0,0,0,0,2
11203,1,112,1.20,1.20,0,0,0,0,1
11205,1,112,2.60,2.60,0,0,0,0,1
20502,2,205,86.23,54.28,23.20,0,1,2.75,57
20503,2,205,78.01,41.72,34.75,1.54,0,0,48
20501,2,205,117.41,74.46,33.95,2.00,1.00,3.00,72
20506,2,205,62.62,43.07,19.55,0,0,0,34
20507,2,205,72.17,45.97,21.70,1.50,0,3.00,37
20113,2,201,465.74,260.04,86.96,81.01,6.80,25.93,270
20112,2,201,58.07,35.39,11.87,9.81,0,1.00,40
70604,7,706,85.52,22.42,5.00,58.10,0,0,16
70605,7,706,216.97,3.00,29.40,184.57,0,0,29
70601,7,706,64.21,17.60,14.00,31.61,1,0,16
70602,7,706,21.95,12.00,7.50,2.45,0,0,8
70603,7,706,10.20,0,10.20,0,0,0,2
50101,5,501,1460.75,620.86,625.09,98.87,32.32,83.61,411
50103,5,501,38.06,19.80,16.26,0,0,2.00,19
50102,5,501,130.85,55.00,58.35,7.50,1,9.00,59
50105,5,501,62.96,38.96,17.00,0,5.00,2.00,41
50104,5,501,465.42,97.88,320.11,14.73,12.40,20.30,128
60803,6,608,0.50,0,0,0,0.50,0,1
60802,6,608,1.69,1.69,0,0,0,0,2
60801,6,608,5.93,1.93,0.50,1.50,0,0,6
60804,6,608,0.00,0.00,0,0,0,0,2
30308,3,303,19.15,5.79,8.00,5.36,0,0,10
30305,3,303,28.00,2.50,19.00,6.50,0,0,8
30304,3,303,17.14,5.70,2.50,1.44,3.5,4,10
30307,3,303,12.17,6.39,3.78,0,0,2.00,5
30306,3,303,69.80,61.84,0,7.96,0,0,7
30301,3,303,25.40,7.50,0,17.90,0,0,11
30303,3,303,13.41,7.16,3.25,0,3.00,0,13
30302,3,303,22.16,6.56,0.60,12.00,3.00,0,9
